netuid,name,burn_pct,registration_cost,active_miners,prune_rank,repo_url,last_commit_iso,clone_state,min_compute_present,gpu_required,gpu_vram_gb,gpu_evidence,runtime,setup_complexity,notes
18,Zeus,32.86945906767376,0.999999999,32,59,https://github.com/Orpheus-AI/Zeus,2026-07-29T17:07:55+02:00,populated,True,no,0,min_compute.yml:24,python,med,"min_compute.yml:24 miner gpu required: False, min_vram 0 (line 25); validator also False (line 58). Miner needs 16 GB RAM (line 32). Plain Python: setup.sh, requirements.txt, start_miner.sh, run_neuron.py. No Dockerfile."
50,Synth,0.0,0.8,235,52,https://github.com/mode-network/synth-subne,2026-07-30T17:22:19+02:00,populated,True,no,0,"min_compute.yml:22 (miner gpu.required: False), min_compute.yml:23 (min_vram: 0)",docker,med,"CPU-only miner per min_compute (16 GB RAM, 2+ cores). Compose + Dockerfile present, pm2 miner.config.js, uv/alembic. Crowded: 235 active miners."
63,Enigma,0.0,0.0005,10,77,https://github.com/qbittensor-labs/enigma,2026-07-17T11:04:02-06:00,populated,True,no,0,min_compute.yml:23,python,low,"min_compute.yml miner block states gpu required: False, min_vram: 0, 'None required (CPU-only)'; 1 core / 8 GB RAM / 100 GB SSD. Validator side does need a 96 GB GPU (min_compute.yml:52-55). Plain python package (setup.py, requirements.txt, neurons/)."
79,MVTRX,0.0,0.157764012,214,74,https://github.com/taos-im/sn-79,2026-08-06T15:28:32+02:00,populated,True,no,0,min_compute.yml:17,python,med,"min_compute.yml declares gpu.required false and min_vram 0 for both miner (line 17-18) and validator (line 51-52). Install via install_miner.sh / run_miner.sh, pyproject + requirements.txt. Ships a simulator and run_vast.sh, but no GPU requirement in evidence. Miner min_ram 4 GB."
107,Minos,0.0,0.99,20,110,https://github.com/minos-protocol/minos_subne,2026-08-10T10:53:40-04:00,populated,True,no,0,"min_compute.yml:24 (miner gpu required: False - ""GATK and DeepVariant can run on CPU""), min_compute.yml:25 (min_vram: 0)",docker,med,"Genomics variant-calling subnet. CPU-only path is explicitly supported; GPU only optionally accelerates the DeepVariant template (recommended_vram: 8, min_compute.yml:26). Docker is mandatory (min_compute.yml:56) with ~7GB of biocontainer images (samtools + one of gatk/deepvariant/bcftools), 8GB RAM min, 60GB SSD with 3000+ IOPS. pm2 + install.sh scaffolding. Registration 0.99 TAO, 20 active miners, prune_rank 110 (weakest prune position in batch)."
33,ReadyAI,0.0,0.067041136,242,62,https://github.com/afterpartyai/bittensor-conversation-genome-projec,2026-07-17T13:11:09-04:00,populated,True,yes,8,min_compute.yml:24,docker,med,"min_compute.yml declares miner gpu required True, min_vram 8 (rec 24). A separate 'miner-cpu' profile at min_compute.yml:59 sets gpu required False, so a CPU-only miner path exists. Docker compose + Dockerfile plus pip/venv start scripts; .env config."
45,AlphaRidge.ai,69.02418554970626,0.03992521,224,8,https://github.com/Team-Rizzo/alpharidge-a,2026-08-06T12:34:46-06:00,populated,True,yes,8,min_compute.yml:24,python,med,"min_compute.yml:24 miner gpu required True, min_vram 8 (rec 24, A100 suggested); validator same at :59. README.md:213 installs torch from the cu128 wheel index, confirming CUDA. Python 3.12 venv + pip, plus a git-install of amazon-science/ReFinED; run_miner.sh / run_validator.sh, PM2 auto-updater optional."
60,Bitsec.ai,49.999237048905165,0.0005,1,42,https://github.com/Bitsec-AI/sandbox,2026-08-10T14:40:07Z,populated,True,yes,8,"min_compute.yml:24 (miner gpu.required: True), min_compute.yml:25 (min_vram: 8), min_compute.yml:26 (recommended_vram: 24), min_compute.yml:30 (recommended_gpu: ""NVIDIA A100"")",docker,med,"Miner GPU required, 8 GB min / 24 GB recommended. Dockerfile + two compose files, plus plain python path (setup.py, uv.lock). Only 1 active miner and ~50% burn."
83,CliqueAI,0.0,0.114104134,245,89,https://github.com/toptensor/CliqueAI,2026-07-22T03:23:04+09:00,populated,True,no,8,min_compute.yml:24,python,med,"min_compute.yml:24 sets gpu.required False for the miner, but the same block still specifies min_vram 8 (line 25), recommended_vram 24 (line 26) and recommended_gpu 'NVIDIA A100' (line 30) - so declared-optional GPU with an 8 GB floor if used. Validator block is identical (lines 58-65). Setup: requirements.txt + setup.py + start_miner.sh."
44,Score,0.0,0.000560157,10,106,https://github.com/score-technologies/turbovision,2026-08-10T00:24:21+07:00,populated,False,yes,16,scorevision/miner/open_source/example_miner/chute_config.yml:10,docker,high,Example miner deploys to Chutes with NodeSelector gpu_count 1 and min_vram_gb_per_gpu 16 (excludes 5090/b200/h200/h20/mi300x); scorevision/miner/open_source/MINER.md:8 requires GPU/cloud capacity for inference. pyproject.toml:50 pulls torch/torchvision/torchaudio. GPU is rented via Chutes rather than run locally. Docker + compose + uv lock; separate VALIDATOR.md path.
54,Yanez MIID,30.939192797741665,0.0005,66,50,https://github.com/yanez-compliance/MIID-subne,2026-08-03T18:47:48-04:00,populated,True,no,16,"min_compute.yml:15 (miner gpu.required: False); min_compute.yml:16 (min_vram: 16 ""Increased from 8GB to 16GB for better LLM inference"")",python,med,"min_compute contradicts itself: gpu.required False yet min_vram 16 / recommended 32 with 'NVIDIA A100 or RTX 4090' recommended (line 21) - LLM inference in practice wants a GPU. Plain python install (setup.py, requirements-miner.txt), no docker. 30.9% burn."
